document_id,clean_text,sentiment
211,nowhere in the description doe this tell you that you are an s mode s mode for window 11 mean that you cannot use any apps except those that are verified in the microsoft app store you cannot even enter your reg edit because it is not a verified app in your microsoft app store so you got to spend a couple day trying to figure out how to get out of s mode so you can get into the pro mode i wasted a lot of time to figure it out that should be bolded in the descriptionread more,neutral
212,read more,negative
213,bought it for stock doe the jobread more,neutral
214,this laptop is extremely slow and it a pain to use due to significant lag with every task i try to do it cant even run the simplest of game window come in s mode which is extremely unnecessarily difficult to figure out how to turn off overall i really regret my purchase a complete waste of moneywould only recommend if you intend to use it solely to type document in word and perform basic internet search but even then there are cheaper option that would probably be better suited to these usesread more,positive
215,good laptop for the price point a in dont expect this to be a high end computer it is very good for the average user and it light weight but not super lightbut liked it enough to buy a second for wiferead more,neutral
216,bought it for stock doe the jobread more,neutral
217,this laptop is extremely slow and it a pain to use due to significant lag with every task i try to do it cant even run the simplest of game window come in s mode which is extremely unnecessarily difficult to figure out how to turn off overall i really regret my purchase a complete waste of moneywould only recommend if you intend to use it solely to type document in word and perform basic internet search but even then there are cheaper option that would probably be better suited to these usesread more,positive
218,i opted down from my last laptop no t the best move i have made with that being said i am slowly adjusting to this new model it will be a lot lighter for our traveling a that is a plusread more,positive
219,wow great price fast shipping perfect condition and excellent computerread more,neutral
220,good laptop for the price point a in dont expect this to be a high end computer it is very good for the average user and it light weight but not super lightbut liked it enough to buy a second for wiferead more,positive
221,good laptop for the price point a in dont expect this to be a high end computer it is very good for the average user and it light weight but not super lightbut liked it enough to buy a second for wiferead more,positive
222,this is damaged product you cant even use it rather it ha given me stress wasted my time and i still havent received back my moneyread more,negative
223,wow great price fast shipping perfect condition and excellent computerread more,neutral
224,bought it for stock doe the jobread more,negative
225,wow great price fast shipping perfect condition and excellent computerread more,positive
226,good laptop for the price point a in dont expect this to be a high end computer it is very good for the average user and it light weight but not super lightbut liked it enough to buy a second for wiferead more,neutral
227,good laptop for the price point a in dont expect this to be a high end computer it is very good for the average user and it light weight but not super lightbut liked it enough to buy a second for wiferead more,negative
228,read more,neutral
229,i opted down from my last laptop no t the best move i have made with that being said i am slowly adjusting to this new model it will be a lot lighter for our traveling a that is a plusread more,positive
230,nowhere in the description doe this tell you that you are an s mode s mode for window 11 mean that you cannot use any apps except those that are verified in the microsoft app store you cannot even enter your reg edit because it is not a verified app in your microsoft app store so you got to spend a couple day trying to figure out how to get out of s mode so you can get into the pro mode i wasted a lot of time to figure it out that should be bolded in the descriptionread more,positive
231,this laptop is extremely slow and it a pain to use due to significant lag with every task i try to do it cant even run the simplest of game window come in s mode which is extremely unnecessarily difficult to figure out how to turn off overall i really regret my purchase a complete waste of moneywould only recommend if you intend to use it solely to type document in word and perform basic internet search but even then there are cheaper option that would probably be better suited to these usesread more,negative
232,i opted down from my last laptop no t the best move i have made with that being said i am slowly adjusting to this new model it will be a lot lighter for our traveling a that is a plusread more,neutral
233,nowhere in the description doe this tell you that you are an s mode s mode for window 11 mean that you cannot use any apps except those that are verified in the microsoft app store you cannot even enter your reg edit because it is not a verified app in your microsoft app store so you got to spend a couple day trying to figure out how to get out of s mode so you can get into the pro mode i wasted a lot of time to figure it out that should be bolded in the descriptionread more,negative
234,good laptop for the price point a in dont expect this to be a high end computer it is very good for the average user and it light weight but not super lightbut liked it enough to buy a second for wiferead more,neutral
235,this laptop is extremely slow and it a pain to use due to significant lag with every task i try to do it cant even run the simplest of game window come in s mode which is extremely unnecessarily difficult to figure out how to turn off overall i really regret my purchase a complete waste of moneywould only recommend if you intend to use it solely to type document in word and perform basic internet search but even then there are cheaper option that would probably be better suited to these usesread more,neutral
236,this laptop is extremely slow and it a pain to use due to significant lag with every task i try to do it cant even run the simplest of game window come in s mode which is extremely unnecessarily difficult to figure out how to turn off overall i really regret my purchase a complete waste of moneywould only recommend if you intend to use it solely to type document in word and perform basic internet search but even then there are cheaper option that would probably be better suited to these usesread more,negative
237,good laptop for the price point a in dont expect this to be a high end computer it is very good for the average user and it light weight but not super lightbut liked it enough to buy a second for wiferead more,neutral
238,bought it for stock doe the jobread more,negative
239,wow great price fast shipping perfect condition and excellent computerread more,negative
240,wow great price fast shipping perfect condition and excellent computerread more,neutral
241,wow great price fast shipping perfect condition and excellent computerread more,negative
242,read more,positive
243,bought it for stock doe the jobread more,neutral
244,wow great price fast shipping perfect condition and excellent computerread more,neutral
245,good laptop for the price point a in dont expect this to be a high end computer it is very good for the average user and it light weight but not super lightbut liked it enough to buy a second for wiferead more,positive
246,good laptop for the price point a in dont expect this to be a high end computer it is very good for the average user and it light weight but not super lightbut liked it enough to buy a second for wiferead more,negative
247,this is damaged product you cant even use it rather it ha given me stress wasted my time and i still havent received back my moneyread more,neutral
248,good laptop for the price point a in dont expect this to be a high end computer it is very good for the average user and it light weight but not super lightbut liked it enough to buy a second for wiferead more,positive
249,wow great price fast shipping perfect condition and excellent computerread more,negative
250,wow great price fast shipping perfect condition and excellent computerread more,neutral
251,this laptop is extremely slow and it a pain to use due to significant lag with every task i try to do it cant even run the simplest of game window come in s mode which is extremely unnecessarily difficult to figure out how to turn off overall i really regret my purchase a complete waste of moneywould only recommend if you intend to use it solely to type document in word and perform basic internet search but even then there are cheaper option that would probably be better suited to these usesread more,positive
252,bought it for stock doe the jobread more,neutral
253,good laptop for the price point a in dont expect this to be a high end computer it is very good for the average user and it light weight but not super lightbut liked it enough to buy a second for wiferead more,negative
254,received the laptop today which is very fast i am a fan of hp laptop a is easy to set up and sturdy great product good buy only setback it not touchscreenread more,positive
255,this laptop is extremely slow and it a pain to use due to significant lag with every task i try to do it cant even run the simplest of game window come in s mode which is extremely unnecessarily difficult to figure out how to turn off overall i really regret my purchase a complete waste of moneywould only recommend if you intend to use it solely to type document in word and perform basic internet search but even then there are cheaper option that would probably be better suited to these usesread more,positive
256,i opted down from my last laptop no t the best move i have made with that being said i am slowly adjusting to this new model it will be a lot lighter for our traveling a that is a plusread more,negative
257,this laptop is extremely slow and it a pain to use due to significant lag with every task i try to do it cant even run the simplest of game window come in s mode which is extremely unnecessarily difficult to figure out how to turn off overall i really regret my purchase a complete waste of moneywould only recommend if you intend to use it solely to type document in word and perform basic internet search but even then there are cheaper option that would probably be better suited to these usesread more,negative
258,wow great price fast shipping perfect condition and excellent computerread more,neutral
259,bought it for stock doe the jobread more,negative
260,good laptop for the price point a in dont expect this to be a high end computer it is very good for the average user and it light weight but not super lightbut liked it enough to buy a second for wiferead more,neutral
261,wow great price fast shipping perfect condition and excellent computerread more,negative
262,this is damaged product you cant even use it rather it ha given me stress wasted my time and i still havent received back my moneyread more,neutral
263,wow great price fast shipping perfect condition and excellent computerread more,neutral
264,this laptop is extremely slow and it a pain to use due to significant lag with every task i try to do it cant even run the simplest of game window come in s mode which is extremely unnecessarily difficult to figure out how to turn off overall i really regret my purchase a complete waste of moneywould only recommend if you intend to use it solely to type document in word and perform basic internet search but even then there are cheaper option that would probably be better suited to these usesread more,neutral
265,good laptop for the price point a in dont expect this to be a high end computer it is very good for the average user and it light weight but not super lightbut liked it enough to buy a second for wiferead more,positive
266,the delivery wa on time delivered when it saidthe laptop came in great condition no scratch nothing and bonus everything loaded well the battery life is also excellent great product a must buy btw i bought another lolread more,neutral
267,the delivery wa on time delivered when it saidthe laptop came in great condition no scratch nothing and bonus everything loaded well the battery life is also excellent great product a must buy btw i bought another lolread more,negative
268,i opted down from my last laptop no t the best move i have made with that being said i am slowly adjusting to this new model it will be a lot lighter for our traveling a that is a plusread more,negative
269,wow great price fast shipping perfect condition and excellent computerread more,neutral
270,wow great price fast shipping perfect condition and excellent computerread more,negative
271,good laptop for the price point a in dont expect this to be a high end computer it is very good for the average user and it light weight but not super lightbut liked it enough to buy a second for wiferead more,neutral
272,this laptop is extremely slow and it a pain to use due to significant lag with every task i try to do it cant even run the simplest of game window come in s mode which is extremely unnecessarily difficult to figure out how to turn off overall i really regret my purchase a complete waste of moneywould only recommend if you intend to use it solely to type document in word and perform basic internet search but even then there are cheaper option that would probably be better suited to these usesread more,positive
273,wow great price fast shipping perfect condition and excellent computerread more,positive
274,good laptop for the price point a in dont expect this to be a high end computer it is very good for the average user and it light weight but not super lightbut liked it enough to buy a second for wiferead more,neutral
275,this laptop is extremely slow and it a pain to use due to significant lag with every task i try to do it cant even run the simplest of game window come in s mode which is extremely unnecessarily difficult to figure out how to turn off overall i really regret my purchase a complete waste of moneywould only recommend if you intend to use it solely to type document in word and perform basic internet search but even then there are cheaper option that would probably be better suited to these usesread more,positive
276,wow great price fast shipping perfect condition and excellent computerread more,neutral
277,bought it for stock doe the jobread more,negative
278,good laptop for the price point a in dont expect this to be a high end computer it is very good for the average user and it light weight but not super lightbut liked it enough to buy a second for wiferead more,positive
279,this laptop is extremely slow and it a pain to use due to significant lag with every task i try to do it cant even run the simplest of game window come in s mode which is extremely unnecessarily difficult to figure out how to turn off overall i really regret my purchase a complete waste of moneywould only recommend if you intend to use it solely to type document in word and perform basic internet search but even then there are cheaper option that would probably be better suited to these usesread more,positive
280,good laptop for the price point a in dont expect this to be a high end computer it is very good for the average user and it light weight but not super lightbut liked it enough to buy a second for wiferead more,positive
281,good laptop for the price point a in dont expect this to be a high end computer it is very good for the average user and it light weight but not super lightbut liked it enough to buy a second for wiferead more,neutral
282,wow great price fast shipping perfect condition and excellent computerread more,negative
283,wow great price fast shipping perfect condition and excellent computerread more,negative
284,bought it for stock doe the jobread more,neutral
285,wow great price fast shipping perfect condition and excellent computerread more,neutral
286,i opted down from my last laptop no t the best move i have made with that being said i am slowly adjusting to this new model it will be a lot lighter for our traveling a that is a plusread more,neutral
287,this laptop is extremely slow and it a pain to use due to significant lag with every task i try to do it cant even run the simplest of game window come in s mode which is extremely unnecessarily difficult to figure out how to turn off overall i really regret my purchase a complete waste of moneywould only recommend if you intend to use it solely to type document in word and perform basic internet search but even then there are cheaper option that would probably be better suited to these usesread more,negative
288,wow great price fast shipping perfect condition and excellent computerread more,positive
289,wow great price fast shipping perfect condition and excellent computerread more,negative
290,received the laptop today which is very fast i am a fan of hp laptop a is easy to set up and sturdy great product good buy only setback it not touchscreenread more,neutral
291,good laptop for the price point a in dont expect this to be a high end computer it is very good for the average user and it light weight but not super lightbut liked it enough to buy a second for wiferead more,neutral
292,this laptop is extremely slow and it a pain to use due to significant lag with every task i try to do it cant even run the simplest of game window come in s mode which is extremely unnecessarily difficult to figure out how to turn off overall i really regret my purchase a complete waste of moneywould only recommend if you intend to use it solely to type document in word and perform basic internet search but even then there are cheaper option that would probably be better suited to these usesread more,negative
293,bought it for stock doe the jobread more,neutral
294,read more,neutral
295,this laptop is extremely slow and it a pain to use due to significant lag with every task i try to do it cant even run the simplest of game window come in s mode which is extremely unnecessarily difficult to figure out how to turn off overall i really regret my purchase a complete waste of moneywould only recommend if you intend to use it solely to type document in word and perform basic internet search but even then there are cheaper option that would probably be better suited to these usesread more,positive
296,i opted down from my last laptop no t the best move i have made with that being said i am slowly adjusting to this new model it will be a lot lighter for our traveling a that is a plusread more,positive
297,received the laptop today which is very fast i am a fan of hp laptop a is easy to set up and sturdy great product good buy only setback it not touchscreenread more,negative
298,bought it for stock doe the jobread more,positive
299,wow great price fast shipping perfect condition and excellent computerread more,negative
300,bought it for stock doe the jobread more,neutral
301,bought it for stock doe the jobread more,positive
302,this laptop is extremely slow and it a pain to use due to significant lag with every task i try to do it cant even run the simplest of game window come in s mode which is extremely unnecessarily difficult to figure out how to turn off overall i really regret my purchase a complete waste of moneywould only recommend if you intend to use it solely to type document in word and perform basic internet search but even then there are cheaper option that would probably be better suited to these usesread more,negative
303,nowhere in the description doe this tell you that you are an s mode s mode for window 11 mean that you cannot use any apps except those that are verified in the microsoft app store you cannot even enter your reg edit because it is not a verified app in your microsoft app store so you got to spend a couple day trying to figure out how to get out of s mode so you can get into the pro mode i wasted a lot of time to figure it out that should be bolded in the descriptionread more,neutral
304,i opted down from my last laptop no t the best move i have made with that being said i am slowly adjusting to this new model it will be a lot lighter for our traveling a that is a plusread more,negative
305,received the laptop today which is very fast i am a fan of hp laptop a is easy to set up and sturdy great product good buy only setback it not touchscreenread more,neutral
306,wow great price fast shipping perfect condition and excellent computerread more,neutral
307,wow great price fast shipping perfect condition and excellent computerread more,positive
308,i opted down from my last laptop no t the best move i have made with that being said i am slowly adjusting to this new model it will be a lot lighter for our traveling a that is a plusread more,positive
309,wow great price fast shipping perfect condition and excellent computerread more,negative
310,wow great price fast shipping perfect condition and excellent computerread more,negative
311,bought it for stock doe the jobread more,negative
312,read more,negative
313,bought it for stock doe the jobread more,positive
314,wow great price fast shipping perfect condition and excellent computerread more,negative
315,i opted down from my last laptop no t the best move i have made with that being said i am slowly adjusting to this new model it will be a lot lighter for our traveling a that is a plusread more,positive
316,nowhere in the description doe this tell you that you are an s mode s mode for window 11 mean that you cannot use any apps except those that are verified in the microsoft app store you cannot even enter your reg edit because it is not a verified app in your microsoft app store so you got to spend a couple day trying to figure out how to get out of s mode so you can get into the pro mode i wasted a lot of time to figure it out that should be bolded in the descriptionread more,neutral
317,nowhere in the description doe this tell you that you are an s mode s mode for window 11 mean that you cannot use any apps except those that are verified in the microsoft app store you cannot even enter your reg edit because it is not a verified app in your microsoft app store so you got to spend a couple day trying to figure out how to get out of s mode so you can get into the pro mode i wasted a lot of time to figure it out that should be bolded in the descriptionread more,neutral
318,received the laptop today which is very fast i am a fan of hp laptop a is easy to set up and sturdy great product good buy only setback it not touchscreenread more,positive
319,this is damaged product you cant even use it rather it ha given me stress wasted my time and i still havent received back my moneyread more,neutral
320,this laptop is extremely slow and it a pain to use due to significant lag with every task i try to do it cant even run the simplest of game window come in s mode which is extremely unnecessarily difficult to figure out how to turn off overall i really regret my purchase a complete waste of moneywould only recommend if you intend to use it solely to type document in word and perform basic internet search but even then there are cheaper option that would probably be better suited to these usesread more,positive
321,this laptop is extremely slow and it a pain to use due to significant lag with every task i try to do it cant even run the simplest of game window come in s mode which is extremely unnecessarily difficult to figure out how to turn off overall i really regret my purchase a complete waste of moneywould only recommend if you intend to use it solely to type document in word and perform basic internet search but even then there are cheaper option that would probably be better suited to these usesread more,positive
322,i opted down from my last laptop no t the best move i have made with that being said i am slowly adjusting to this new model it will be a lot lighter for our traveling a that is a plusread more,negative
323,this laptop is extremely slow and it a pain to use due to significant lag with every task i try to do it cant even run the simplest of game window come in s mode which is extremely unnecessarily difficult to figure out how to turn off overall i really regret my purchase a complete waste of moneywould only recommend if you intend to use it solely to type document in word and perform basic internet search but even then there are cheaper option that would probably be better suited to these usesread more,neutral
324,bought it for stock doe the jobread more,negative
325,the delivery wa on time delivered when it saidthe laptop came in great condition no scratch nothing and bonus everything loaded well the battery life is also excellent great product a must buy btw i bought another lolread more,negative
326,this laptop is extremely slow and it a pain to use due to significant lag with every task i try to do it cant even run the simplest of game window come in s mode which is extremely unnecessarily difficult to figure out how to turn off overall i really regret my purchase a complete waste of moneywould only recommend if you intend to use it solely to type document in word and perform basic internet search but even then there are cheaper option that would probably be better suited to these usesread more,positive
327,received the laptop today which is very fast i am a fan of hp laptop a is easy to set up and sturdy great product good buy only setback it not touchscreenread more,positive
328,good laptop for the price point a in dont expect this to be a high end computer it is very good for the average user and it light weight but not super lightbut liked it enough to buy a second for wiferead more,positive
329,read more,neutral
330,read more,positive
331,nowhere in the description doe this tell you that you are an s mode s mode for window 11 mean that you cannot use any apps except those that are verified in the microsoft app store you cannot even enter your reg edit because it is not a verified app in your microsoft app store so you got to spend a couple day trying to figure out how to get out of s mode so you can get into the pro mode i wasted a lot of time to figure it out that should be bolded in the descriptionread more,neutral
332,this laptop is extremely slow and it a pain to use due to significant lag with every task i try to do it cant even run the simplest of game window come in s mode which is extremely unnecessarily difficult to figure out how to turn off overall i really regret my purchase a complete waste of moneywould only recommend if you intend to use it solely to type document in word and perform basic internet search but even then there are cheaper option that would probably be better suited to these usesread more,neutral
333,i opted down from my last laptop no t the best move i have made with that being said i am slowly adjusting to this new model it will be a lot lighter for our traveling a that is a plusread more,neutral
334,bought it for stock doe the jobread more,positive
335,received the laptop today which is very fast i am a fan of hp laptop a is easy to set up and sturdy great product good buy only setback it not touchscreenread more,positive
336,nowhere in the description doe this tell you that you are an s mode s mode for window 11 mean that you cannot use any apps except those that are verified in the microsoft app store you cannot even enter your reg edit because it is not a verified app in your microsoft app store so you got to spend a couple day trying to figure out how to get out of s mode so you can get into the pro mode i wasted a lot of time to figure it out that should be bolded in the descriptionread more,positive
337,this laptop is extremely slow and it a pain to use due to significant lag with every task i try to do it cant even run the simplest of game window come in s mode which is extremely unnecessarily difficult to figure out how to turn off overall i really regret my purchase a complete waste of moneywould only recommend if you intend to use it solely to type document in word and perform basic internet search but even then there are cheaper option that would probably be better suited to these usesread more,neutral
338,good laptop for the price point a in dont expect this to be a high end computer it is very good for the average user and it light weight but not super lightbut liked it enough to buy a second for wiferead more,neutral
339,i opted down from my last laptop no t the best move i have made with that being said i am slowly adjusting to this new model it will be a lot lighter for our traveling a that is a plusread more,positive
340,bought it for stock doe the jobread more,negative
341,this laptop is extremely slow and it a pain to use due to significant lag with every task i try to do it cant even run the simplest of game window come in s mode which is extremely unnecessarily difficult to figure out how to turn off overall i really regret my purchase a complete waste of moneywould only recommend if you intend to use it solely to type document in word and perform basic internet search but even then there are cheaper option that would probably be better suited to these usesread more,negative
342,the delivery wa on time delivered when it saidthe laptop came in great condition no scratch nothing and bonus everything loaded well the battery life is also excellent great product a must buy btw i bought another lolread more,neutral
343,good laptop for the price point a in dont expect this to be a high end computer it is very good for the average user and it light weight but not super lightbut liked it enough to buy a second for wiferead more,positive
344,i opted down from my last laptop no t the best move i have made with that being said i am slowly adjusting to this new model it will be a lot lighter for our traveling a that is a plusread more,positive
345,read more,negative
346,the delivery wa on time delivered when it saidthe laptop came in great condition no scratch nothing and bonus everything loaded well the battery life is also excellent great product a must buy btw i bought another lolread more,negative
347,bought it for stock doe the jobread more,neutral
348,wow great price fast shipping perfect condition and excellent computerread more,positive
349,this is damaged product you cant even use it rather it ha given me stress wasted my time and i still havent received back my moneyread more,positive
350,good laptop for the price point a in dont expect this to be a high end computer it is very good for the average user and it light weight but not super lightbut liked it enough to buy a second for wiferead more,negative
351,this laptop is extremely slow and it a pain to use due to significant lag with every task i try to do it cant even run the simplest of game window come in s mode which is extremely unnecessarily difficult to figure out how to turn off overall i really regret my purchase a complete waste of moneywould only recommend if you intend to use it solely to type document in word and perform basic internet search but even then there are cheaper option that would probably be better suited to these usesread more,negative
352,bought it for stock doe the jobread more,positive
353,i opted down from my last laptop no t the best move i have made with that being said i am slowly adjusting to this new model it will be a lot lighter for our traveling a that is a plusread more,negative
354,read more,positive
355,read more,neutral
356,good laptop for the price point a in dont expect this to be a high end computer it is very good for the average user and it light weight but not super lightbut liked it enough to buy a second for wiferead more,neutral
357,bought it for stock doe the jobread more,neutral
358,good laptop for the price point a in dont expect this to be a high end computer it is very good for the average user and it light weight but not super lightbut liked it enough to buy a second for wiferead more,neutral
359,good laptop for the price point a in dont expect this to be a high end computer it is very good for the average user and it light weight but not super lightbut liked it enough to buy a second for wiferead more,negative
360,i opted down from my last laptop no t the best move i have made with that being said i am slowly adjusting to this new model it will be a lot lighter for our traveling a that is a plusread more,positive
361,bought it for stock doe the jobread more,positive
362,bought it for stock doe the jobread more,negative
363,the delivery wa on time delivered when it saidthe laptop came in great condition no scratch nothing and bonus everything loaded well the battery life is also excellent great product a must buy btw i bought another lolread more,positive
364,i opted down from my last laptop no t the best move i have made with that being said i am slowly adjusting to this new model it will be a lot lighter for our traveling a that is a plusread more,positive
365,bought it for stock doe the jobread more,positive
366,nowhere in the description doe this tell you that you are an s mode s mode for window 11 mean that you cannot use any apps except those that are verified in the microsoft app store you cannot even enter your reg edit because it is not a verified app in your microsoft app store so you got to spend a couple day trying to figure out how to get out of s mode so you can get into the pro mode i wasted a lot of time to figure it out that should be bolded in the descriptionread more,positive
367,i opted down from my last laptop no t the best move i have made with that being said i am slowly adjusting to this new model it will be a lot lighter for our traveling a that is a plusread more,neutral
368,good laptop for the price point a in dont expect this to be a high end computer it is very good for the average user and it light weight but not super lightbut liked it enough to buy a second for wiferead more,negative
369,this is damaged product you cant even use it rather it ha given me stress wasted my time and i still havent received back my moneyread more,neutral
370,good laptop for the price point a in dont expect this to be a high end computer it is very good for the average user and it light weight but not super lightbut liked it enough to buy a second for wiferead more,negative
371,wow great price fast shipping perfect condition and excellent computerread more,negative
372,wow great price fast shipping perfect condition and excellent computerread more,neutral
373,received the laptop today which is very fast i am a fan of hp laptop a is easy to set up and sturdy great product good buy only setback it not touchscreenread more,positive
374,bought it for stock doe the jobread more,neutral
375,wow great price fast shipping perfect condition and excellent computerread more,neutral
376,bought it for stock doe the jobread more,neutral
377,i opted down from my last laptop no t the best move i have made with that being said i am slowly adjusting to this new model it will be a lot lighter for our traveling a that is a plusread more,neutral
378,this laptop is extremely slow and it a pain to use due to significant lag with every task i try to do it cant even run the simplest of game window come in s mode which is extremely unnecessarily difficult to figure out how to turn off overall i really regret my purchase a complete waste of moneywould only recommend if you intend to use it solely to type document in word and perform basic internet search but even then there are cheaper option that would probably be better suited to these usesread more,negative
379,good laptop for the price point a in dont expect this to be a high end computer it is very good for the average user and it light weight but not super lightbut liked it enough to buy a second for wiferead more,neutral
380,good laptop for the price point a in dont expect this to be a high end computer it is very good for the average user and it light weight but not super lightbut liked it enough to buy a second for wiferead more,neutral
381,i opted down from my last laptop no t the best move i have made with that being said i am slowly adjusting to this new model it will be a lot lighter for our traveling a that is a plusread more,negative
382,wow great price fast shipping perfect condition and excellent computerread more,neutral
383,i opted down from my last laptop no t the best move i have made with that being said i am slowly adjusting to this new model it will be a lot lighter for our traveling a that is a plusread more,negative
384,i opted down from my last laptop no t the best move i have made with that being said i am slowly adjusting to this new model it will be a lot lighter for our traveling a that is a plusread more,negative
385,wow great price fast shipping perfect condition and excellent computerread more,neutral
386,wow great price fast shipping perfect condition and excellent computerread more,positive
387,good laptop for the price point a in dont expect this to be a high end computer it is very good for the average user and it light weight but not super lightbut liked it enough to buy a second for wiferead more,positive
388,bought it for stock doe the jobread more,negative
389,bought it for stock doe the jobread more,neutral
390,good laptop for the price point a in dont expect this to be a high end computer it is very good for the average user and it light weight but not super lightbut liked it enough to buy a second for wiferead more,negative
391,nowhere in the description doe this tell you that you are an s mode s mode for window 11 mean that you cannot use any apps except those that are verified in the microsoft app store you cannot even enter your reg edit because it is not a verified app in your microsoft app store so you got to spend a couple day trying to figure out how to get out of s mode so you can get into the pro mode i wasted a lot of time to figure it out that should be bolded in the descriptionread more,positive
392,the delivery wa on time delivered when it saidthe laptop came in great condition no scratch nothing and bonus everything loaded well the battery life is also excellent great product a must buy btw i bought another lolread more,positive
393,this laptop is extremely slow and it a pain to use due to significant lag with every task i try to do it cant even run the simplest of game window come in s mode which is extremely unnecessarily difficult to figure out how to turn off overall i really regret my purchase a complete waste of moneywould only recommend if you intend to use it solely to type document in word and perform basic internet search but even then there are cheaper option that would probably be better suited to these usesread more,positive
394,bought it for stock doe the jobread more,negative
395,wow great price fast shipping perfect condition and excellent computerread more,negative
396,read more,negative
397,read more,negative
398,this laptop is extremely slow and it a pain to use due to significant lag with every task i try to do it cant even run the simplest of game window come in s mode which is extremely unnecessarily difficult to figure out how to turn off overall i really regret my purchase a complete waste of moneywould only recommend if you intend to use it solely to type document in word and perform basic internet search but even then there are cheaper option that would probably be better suited to these usesread more,neutral
399,read more,positive
400,bought it for stock doe the jobread more,negative
401,received the laptop today which is very fast i am a fan of hp laptop a is easy to set up and sturdy great product good buy only setback it not touchscreenread more,neutral
402,this laptop is extremely slow and it a pain to use due to significant lag with every task i try to do it cant even run the simplest of game window come in s mode which is extremely unnecessarily difficult to figure out how to turn off overall i really regret my purchase a complete waste of moneywould only recommend if you intend to use it solely to type document in word and perform basic internet search but even then there are cheaper option that would probably be better suited to these usesread more,positive
403,wow great price fast shipping perfect condition and excellent computerread more,positive
404,nowhere in the description doe this tell you that you are an s mode s mode for window 11 mean that you cannot use any apps except those that are verified in the microsoft app store you cannot even enter your reg edit because it is not a verified app in your microsoft app store so you got to spend a couple day trying to figure out how to get out of s mode so you can get into the pro mode i wasted a lot of time to figure it out that should be bolded in the descriptionread more,negative
405,nowhere in the description doe this tell you that you are an s mode s mode for window 11 mean that you cannot use any apps except those that are verified in the microsoft app store you cannot even enter your reg edit because it is not a verified app in your microsoft app store so you got to spend a couple day trying to figure out how to get out of s mode so you can get into the pro mode i wasted a lot of time to figure it out that should be bolded in the descriptionread more,positive
406,good laptop for the price point a in dont expect this to be a high end computer it is very good for the average user and it light weight but not super lightbut liked it enough to buy a second for wiferead more,positive
407,i opted down from my last laptop no t the best move i have made with that being said i am slowly adjusting to this new model it will be a lot lighter for our traveling a that is a plusread more,neutral
408,good laptop for the price point a in dont expect this to be a high end computer it is very good for the average user and it light weight but not super lightbut liked it enough to buy a second for wiferead more,negative
409,this laptop is extremely slow and it a pain to use due to significant lag with every task i try to do it cant even run the simplest of game window come in s mode which is extremely unnecessarily difficult to figure out how to turn off overall i really regret my purchase a complete waste of moneywould only recommend if you intend to use it solely to type document in word and perform basic internet search but even then there are cheaper option that would probably be better suited to these usesread more,negative
410,this laptop is extremely slow and it a pain to use due to significant lag with every task i try to do it cant even run the simplest of game window come in s mode which is extremely unnecessarily difficult to figure out how to turn off overall i really regret my purchase a complete waste of moneywould only recommend if you intend to use it solely to type document in word and perform basic internet search but even then there are cheaper option that would probably be better suited to these usesread more,negative
411,good laptop for the price point a in dont expect this to be a high end computer it is very good for the average user and it light weight but not super lightbut liked it enough to buy a second for wiferead more,neutral
412,wow great price fast shipping perfect condition and excellent computerread more,positive
413,good laptop for the price point a in dont expect this to be a high end computer it is very good for the average user and it light weight but not super lightbut liked it enough to buy a second for wiferead more,negative
414,nowhere in the description doe this tell you that you are an s mode s mode for window 11 mean that you cannot use any apps except those that are verified in the microsoft app store you cannot even enter your reg edit because it is not a verified app in your microsoft app store so you got to spend a couple day trying to figure out how to get out of s mode so you can get into the pro mode i wasted a lot of time to figure it out that should be bolded in the descriptionread more,positive
415,wow great price fast shipping perfect condition and excellent computerread more,negative
416,good laptop for the price point a in dont expect this to be a high end computer it is very good for the average user and it light weight but not super lightbut liked it enough to buy a second for wiferead more,neutral
417,good laptop for the price point a in dont expect this to be a high end computer it is very good for the average user and it light weight but not super lightbut liked it enough to buy a second for wiferead more,positive
418,i opted down from my last laptop no t the best move i have made with that being said i am slowly adjusting to this new model it will be a lot lighter for our traveling a that is a plusread more,positive
419,wow great price fast shipping perfect condition and excellent computerread more,negative
